backbone,variant,n_targets,n_clusters,mean_diff,ci_low,ci_high,signflip_p
cnn60,full,917,896,-0.012497481996209297,-0.01603837142498818,-0.008934960566473228,1.999960000799984e-05
cnn60,excl_legacy,778,765,-0.012768511394343984,-0.016875123205137836,-0.008876838401738023,1.999960000799984e-05
cnn60,excl_context_unresolved,630,620,-0.013483161301943738,-0.01797047692658315,-0.009144092703750325,1.999960000799984e-05
cnn60,excl_both,542,537,-0.013459451906621215,-0.01833948267280046,-0.008520619459685479,1.999960000799984e-05
sandstorm,full,917,896,-0.020448346145169303,-0.024091218249495852,-0.016416138959625265,1.999960000799984e-05
sandstorm,excl_legacy,778,765,-0.020760602082731387,-0.024981774332001334,-0.01676786267079164,1.999960000799984e-05
sandstorm,excl_context_unresolved,630,620,-0.018943529161652668,-0.023794477477048905,-0.014344493388502114,1.999960000799984e-05
sandstorm,excl_both,542,537,-0.01960796012988086,-0.024301689268211926,-0.014444659832825545,1.999960000799984e-05
