group,n,measured_onoff_full_mean,measured_onoff_trunc_mean,measured_on_full_mean,measured_off_mean,ON/OFF Full RNA _mean,ON/OFF Full RNA _sem
VISTA_GFP_high_on,12,71.07779188698807,76.01585964683487,4420.111111111111,95.26944444444445,71.07779188698807,17.553175807604568
VISTA_GFP_high_onoff,12,126.87232337668131,146.6430860827056,4344.794444444445,64.60833333333333,126.87232337668131,30.340822937315544
VISTA_GFP_low_off,12,4.077771942754313,15.863215199856896,124.53333333333332,32.919444444444444,4.077771942754313,1.6350695384942961
VISTA_GFP_low_onoff,12,12.349429474773851,14.991212252464342,2102.4194444444447,596.8166666666666,12.349429474773851,5.0836147835941885
VISTA_LacZ_SARS_COV_2_N,12,36.022375235286056,54.94940342687431,1575.8944444444444,138.4,36.022375235286056,14.534684252838565
tsgen2_GFP_SARSCoV2_11_N,12,33.013626946485665,51.961333052562814,1719.0972222222217,71.78333333333333,33.013626946485665,13.689965287154335
