method_id,prediction,outcome,spearman,cluster_boot_lo,cluster_boot_hi,n,n_clustered
transfer-cnn60,score,onoff,-0.05893207000347557,-0.3525588782312499,0.09905537141436176,100,99
transfer-cnn60,on,on,0.00961301898001188,-0.2157769184039353,0.20123858613654577,100,99
transfer-cnn60,off,off,-0.0076267855589468945,-0.10051997886716904,0.26795054683785063,100,99
transfer-cnn60,score,fold_change,-0.11275761403475303,-0.4994001834732905,-0.0006291355222441635,100,99
transfer-sandstorm,score,onoff,0.1991119111911191,0.0370016155666438,0.49717502844936007,100,99
transfer-sandstorm,on,on,0.3258335608582347,0.10631984187069415,0.5596238695122681,100,99
transfer-sandstorm,off,off,0.41318931893189315,0.20821530425096743,0.6596242659812342,100,99
transfer-sandstorm,score,fold_change,0.12144014401440142,-0.08630301319596358,0.2936972189502685,100,99
