method,ndcg@10,ci_low,ci_high,random_ndcg@10
vista-plsda-full,0.6759715670057325,0.5335558075857546,0.8247092413583571,0.2627070246342355
vista-plsda-trunc,0.6692408514333559,0.5300019123410059,0.8335903014818463,0.2627070246342355
vista-tsgen2-reversed-sensitivity,0.424629749473598,0.22609831459230445,0.6856168937265845,0.2627070246342355
transfer-sandstorm/full_tblr,0.2090545186925345,0.10738387433679765,0.3816163894968108,0.2627070246342355
vista-tsgen2,0.11470004156468931,0.05955304290331302,0.1701753437835934,0.2627070246342355
transfer-cnn60/full_tblr,0.07876341871098573,0.03239389364797182,0.20991829875534818,0.2627070246342355
