backbone,objective,ndcg@10,random_ndcg@10
cnn60,rowwise_mse,0.8331926104724615,0.6426640973364288
cnn60,tb_mse,0.812274993225208,0.6426640973364288
cnn60,tb_dual,0.80762240034014,0.6426640973364288
cnn60,tb_lambdarank,0.7940641869365869,0.6426640973364288
cnn60,full_tblr,0.799777511228999,0.6426640973364288
sandstorm,rowwise_mse,0.8348719631419166,0.6426640973364288
sandstorm,tb_mse,0.8170590342196314,0.6426640973364288
sandstorm,tb_dual,0.8150436025268588,0.6426640973364288
sandstorm,tb_lambdarank,0.7933462750417197,0.6426640973364288
sandstorm,full_tblr,0.7966106880744619,0.6426640973364288
