method_id,prediction,outcome,spearman,cluster_boot_lo,cluster_boot_hi,n,n_clustered
transfer-cnn60,score,fold_change,-0.112757614034753,-0.4994001834732905,-0.0006291355222441,100,99
transfer-cnn60,score,onoff,-0.0589320700034755,-0.3525588782312499,0.0990553714143617,100,99
transfer-cnn60,off,off,-0.0076267855589468,-0.100519978867169,0.2679505468378506,100,99
transfer-cnn60,on,on,0.0096130189800118,-0.2157769184039353,0.2012385861365457,100,99
transfer-sandstorm,score,fold_change,0.1214401440144014,-0.0863030131959635,0.2936972189502685,100,99
transfer-sandstorm,score,onoff,0.1991119111911191,0.0370016155666438,0.49717502844936,100,99
transfer-sandstorm,on,on,0.3258335608582347,0.1063198418706941,0.5596238695122681,100,99
transfer-sandstorm,off,off,0.4131893189318931,0.2082153042509674,0.6596242659812342,100,99
